,ROI1 number,region1,ROI2 number,region2
755,89,Left Paracingulate Gyrus,35,Right Lateral Occipital Cortex; superior division
756,104,Left Parietal Operculum Cortex,62,Left Frontal Pole
757,89,Left Paracingulate Gyrus,67,Left Inferior Frontal Gyrus; pars opercularis
758,77,Left Inferior Temporal Gyrus; temporooccipital part,6,Left Accumbens
759,43,Right Cingulate Gyrus; posterior division,98,Left Temporal Fusiform Cortex; anterior division
760,29,Right Inferior Temporal Gyrus; temporooccipital part,76,Left Inferior Temporal Gyrus; posterior division
761,79,Left Superior Parietal Lobule,89,Left Paracingulate Gyrus
762,8,Right Caudate,73,Left Middle Temporal Gyrus; posterior division
763,8,Right Caudate,19,Right Inferior Frontal Gyrus; pars opercularis
764,29,Right Inferior Temporal Gyrus; temporooccipital part,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
765,79,Left Superior Parietal Lobule,65,Left Middle Frontal Gyrus
766,79,Left Superior Parietal Lobule,79,Left Superior Parietal Lobule
767,31,Right Superior Parietal Lobule,27,Right Inferior Temporal Gyrus; anterior division
768,59,Right Planum Temporale,33,Right Supramarginal Gyrus; posterior division
769,37,Right Intracalcarine Cortex,2,Left Putamen
770,17,Right Middle Frontal Gyrus,99,Left Temporal Fusiform Cortex; posterior division
771,70,Left Superior Temporal Gyrus; anterior division,70,Left Superior Temporal Gyrus; anterior division
772,69,Left Temporal Pole,104,Left Parietal Operculum Cortex
773,97,Left Lingual Gyrus,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
774,66,Left Inferior Frontal Gyrus; pars triangularis,23,Right Superior Temporal Gyrus; posterior division
775,60,Right Supracalcarine Cortex,45,Right Cuneal Cortex
776,17,Right Middle Frontal Gyrus,61,Right Occipital Pole
777,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),94,Left Frontal Orbital Cortex
778,97,Left Lingual Gyrus,53,Right Occipital Fusiform Gyrus
779,31,Right Superior Parietal Lobule,12,Right Amygdala
780,99,Left Temporal Fusiform Cortex; posterior division,102,Left Frontal Operculum Cortex
781,31,Right Superior Parietal Lobule,20,Right Precentral Gyrus
782,55,Right Central Opercular Cortex,62,Left Frontal Pole
783,97,Left Lingual Gyrus,82,Left Angular Gyrus
784,97,Left Lingual Gyrus,75,Left Inferior Temporal Gyrus; anterior division
785,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),4,Left Hippocampus
786,99,Left Temporal Fusiform Cortex; posterior division,17,Right Middle Frontal Gyrus
787,8,Right Caudate,74,Left Middle Temporal Gyrus; temporooccipital part
788,29,Right Inferior Temporal Gyrus; temporooccipital part,79,Left Superior Parietal Lobule
789,66,Left Inferior Frontal Gyrus; pars triangularis,95,Left Parahippocampal Gyrus; anterior division
790,66,Left Inferior Frontal Gyrus; pars triangularis,94,Left Frontal Orbital Cortex
791,55,Right Central Opercular Cortex,23,Right Superior Temporal Gyrus; posterior division
792,35,Right Lateral Occipital Cortex; superior division,7,Right Thalamus
793,40,Right Subcallosal Cortex,45,Right Cuneal Cortex
794,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),26,Right Middle Temporal Gyrus; temporooccipital part
795,60,Right Supracalcarine Cortex,1,Left Caudate
796,69,Left Temporal Pole,14,Right Frontal Pole
797,55,Right Central Opercular Cortex,42,Right Cingulate Gyrus; anterior division
798,69,Left Temporal Pole,18,Right Inferior Frontal Gyrus; pars triangularis
799,66,Left Inferior Frontal Gyrus; pars triangularis,56,Right Parietal Operculum Cortex
800,99,Left Temporal Fusiform Cortex; posterior division,71,Left Superior Temporal Gyrus; posterior division
801,98,Left Temporal Fusiform Cortex; anterior division,76,Left Inferior Temporal Gyrus; posterior division
802,98,Left Temporal Fusiform Cortex; anterior division,71,Left Superior Temporal Gyrus; posterior division
803,66,Left Inferior Frontal Gyrus; pars triangularis,51,Right Temporal Fusiform Cortex; posterior division
804,8,Right Caudate,46,Right Frontal Orbital Cortex
805,8,Right Caudate,38,Right Frontal Medial Cortex
806,28,Right Inferior Temporal Gyrus; posterior division,29,Right Inferior Temporal Gyrus; temporooccipital part
807,99,Left Temporal Fusiform Cortex; posterior division,62,Left Frontal Pole
808,68,Left Precentral Gyrus,30,Right Postcentral Gyrus
809,34,Right Angular Gyrus,69,Left Temporal Pole
810,55,Right Central Opercular Cortex,94,Left Frontal Orbital Cortex
811,22,Right Superior Temporal Gyrus; anterior division,22,Right Superior Temporal Gyrus; anterior division
812,40,Right Subcallosal Cortex,65,Left Middle Frontal Gyrus
813,76,Left Inferior Temporal Gyrus; posterior division,108,Left Supracalcarine Cortex
814,79,Left Superior Parietal Lobule,78,Left Postcentral Gyrus
815,76,Left Inferior Temporal Gyrus; posterior division,100,Left Temporal Occipital Fusiform Cortex
816,34,Right Angular Gyrus,15,Right Insular Cortex
817,34,Right Angular Gyrus,48,Right Parahippocampal Gyrus; posterior division
818,13,Right Accumbens,81,Left Supramarginal Gyrus; posterior division
819,57,Right Planum Polare,13,Right Accumbens
820,62,Left Frontal Pole,26,Right Middle Temporal Gyrus; temporooccipital part
821,76,Left Inferior Temporal Gyrus; posterior division,74,Left Middle Temporal Gyrus; temporooccipital part
822,76,Left Inferior Temporal Gyrus; posterior division,71,Left Superior Temporal Gyrus; posterior division
823,76,Left Inferior Temporal Gyrus; posterior division,70,Left Superior Temporal Gyrus; anterior division
824,32,Right Supramarginal Gyrus; anterior division,30,Right Postcentral Gyrus
825,60,Right Supracalcarine Cortex,18,Right Inferior Frontal Gyrus; pars triangularis
826,21,Right Temporal Pole,55,Right Central Opercular Cortex
827,63,Left Insular Cortex,56,Right Parietal Operculum Cortex
828,32,Right Supramarginal Gyrus; anterior division,109,Left Occipital Pole
829,16,Right Superior Frontal Gyrus,33,Right Supramarginal Gyrus; posterior division
830,78,Left Postcentral Gyrus,62,Left Frontal Pole
831,16,Right Superior Frontal Gyrus,16,Right Superior Frontal Gyrus
832,78,Left Postcentral Gyrus,61,Right Occipital Pole
833,33,Right Supramarginal Gyrus; posterior division,54,Right Frontal Operculum Cortex
834,34,Right Angular Gyrus,28,Right Inferior Temporal Gyrus; posterior division
835,53,Right Occipital Fusiform Gyrus,71,Left Superior Temporal Gyrus; posterior division
836,40,Right Subcallosal Cortex,82,Left Angular Gyrus
837,16,Right Superior Frontal Gyrus,105,Left Planum Polare
838,77,Left Inferior Temporal Gyrus; temporooccipital part,84,Left Lateral Occipital Cortex; inferior division
839,77,Left Inferior Temporal Gyrus; temporooccipital part,80,Left Supramarginal Gyrus; anterior division
840,89,Left Paracingulate Gyrus,106,Left Heschl's Gyrus (includes H1 and H2)
841,33,Right Supramarginal Gyrus; posterior division,0,Left Thalamus
842,53,Right Occipital Fusiform Gyrus,78,Left Postcentral Gyrus
843,63,Left Insular Cortex,19,Right Inferior Frontal Gyrus; pars opercularis
844,62,Left Frontal Pole,67,Left Inferior Frontal Gyrus; pars opercularis
845,62,Left Frontal Pole,17,Right Middle Frontal Gyrus
846,32,Right Supramarginal Gyrus; anterior division,17,Right Middle Frontal Gyrus
847,11,Right Hippocampus,42,Right Cingulate Gyrus; anterior division
848,37,Right Intracalcarine Cortex,79,Left Superior Parietal Lobule
849,74,Left Middle Temporal Gyrus; temporooccipital part,69,Left Temporal Pole
850,74,Left Middle Temporal Gyrus; temporooccipital part,42,Right Cingulate Gyrus; anterior division
851,37,Right Intracalcarine Cortex,69,Left Temporal Pole
852,74,Left Middle Temporal Gyrus; temporooccipital part,15,Right Insular Cortex
853,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),33,Right Supramarginal Gyrus; posterior division
854,20,Right Precentral Gyrus,20,Right Precentral Gyrus
855,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),44,Right Precuneous Cortex
856,37,Right Intracalcarine Cortex,42,Right Cingulate Gyrus; anterior division
857,34,Right Angular Gyrus,98,Left Temporal Fusiform Cortex; anterior division
858,59,Right Planum Temporale,0,Left Thalamus
859,31,Right Superior Parietal Lobule,80,Left Supramarginal Gyrus; anterior division
860,59,Right Planum Temporale,10,Right Pallidum
861,73,Left Middle Temporal Gyrus; posterior division,18,Right Inferior Frontal Gyrus; pars triangularis
862,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),11,Right Hippocampus
863,74,Left Middle Temporal Gyrus; temporooccipital part,97,Left Lingual Gyrus
864,96,Left Parahippocampal Gyrus; posterior division,17,Right Middle Frontal Gyrus
865,38,Right Frontal Medial Cortex,1,Left Caudate
866,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0,Left Thalamus
867,76,Left Inferior Temporal Gyrus; posterior division,31,Right Superior Parietal Lobule
868,13,Right Accumbens,4,Left Hippocampus
869,76,Left Inferior Temporal Gyrus; posterior division,30,Right Postcentral Gyrus
870,53,Right Occipital Fusiform Gyrus,27,Right Inferior Temporal Gyrus; anterior division
871,32,Right Supramarginal Gyrus; anterior division,2,Left Putamen
872,76,Left Inferior Temporal Gyrus; posterior division,29,Right Inferior Temporal Gyrus; temporooccipital part
873,31,Right Superior Parietal Lobule,107,Left Planum Temporale
874,55,Right Central Opercular Cortex,15,Right Insular Cortex
875,75,Left Inferior Temporal Gyrus; anterior division,90,Left Cingulate Gyrus; anterior division
876,75,Left Inferior Temporal Gyrus; anterior division,69,Left Temporal Pole
877,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),79,Left Superior Parietal Lobule
878,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),2,Left Putamen
879,20,Right Precentral Gyrus,95,Left Parahippocampal Gyrus; anterior division
880,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),82,Left Angular Gyrus
881,21,Right Temporal Pole,71,Left Superior Temporal Gyrus; posterior division
882,78,Left Postcentral Gyrus,16,Right Superior Frontal Gyrus
883,46,Right Frontal Orbital Cortex,5,Left Amygdala
884,50,Right Temporal Fusiform Cortex; anterior division,9,Right Putamen
885,0,Left Thalamus,98,Left Temporal Fusiform Cortex; anterior division
886,0,Left Thalamus,28,Right Inferior Temporal Gyrus; posterior division
887,51,Right Temporal Fusiform Cortex; posterior division,62,Left Frontal Pole
888,49,Right Lingual Gyrus,37,Right Intracalcarine Cortex
889,46,Right Frontal Orbital Cortex,82,Left Angular Gyrus
890,0,Left Thalamus,31,Right Superior Parietal Lobule
891,105,Left Planum Polare,62,Left Frontal Pole
892,0,Left Thalamus,40,Right Subcallosal Cortex
893,5,Left Amygdala,5,Left Amygdala
894,4,Left Hippocampus,35,Right Lateral Occipital Cortex; superior division
895,104,Left Parietal Operculum Cortex,28,Right Inferior Temporal Gyrus; posterior division
896,2,Left Putamen,78,Left Postcentral Gyrus
897,3,Left Pallidum,71,Left Superior Temporal Gyrus; posterior division
898,2,Left Putamen,62,Left Frontal Pole
899,0,Left Thalamus,60,Right Supracalcarine Cortex
900,105,Left Planum Polare,7,Right Thalamus
901,4,Left Hippocampus,50,Right Temporal Fusiform Cortex; anterior division
902,6,Left Accumbens,41,Right Paracingulate Gyrus
903,3,Left Pallidum,2,Left Putamen
904,106,Left Heschl's Gyrus (includes H1 and H2),18,Right Inferior Frontal Gyrus; pars triangularis
905,6,Left Accumbens,33,Right Supramarginal Gyrus; posterior division
906,103,Left Central Opercular Cortex,2,Left Putamen
907,46,Right Frontal Orbital Cortex,40,Right Subcallosal Cortex
908,5,Left Amygdala,66,Left Inferior Frontal Gyrus; pars triangularis
909,106,Left Heschl's Gyrus (includes H1 and H2),97,Left Lingual Gyrus
910,50,Right Temporal Fusiform Cortex; anterior division,53,Right Occipital Fusiform Gyrus
911,51,Right Temporal Fusiform Cortex; posterior division,71,Left Superior Temporal Gyrus; posterior division
912,8,Right Caudate,1,Left Caudate
913,4,Left Hippocampus,25,Right Middle Temporal Gyrus; posterior division
914,43,Right Cingulate Gyrus; posterior division,103,Left Central Opercular Cortex
915,105,Left Planum Polare,33,Right Supramarginal Gyrus; posterior division
916,4,Left Hippocampus,44,Right Precuneous Cortex
917,0,Left Thalamus,8,Right Caudate
918,6,Left Accumbens,66,Left Inferior Frontal Gyrus; pars triangularis
919,104,Left Parietal Operculum Cortex,52,Right Temporal Occipital Fusiform Cortex
920,104,Left Parietal Operculum Cortex,44,Right Precuneous Cortex
921,106,Left Heschl's Gyrus (includes H1 and H2),44,Right Precuneous Cortex
922,104,Left Parietal Operculum Cortex,61,Right Occipital Pole
923,0,Left Thalamus,104,Left Parietal Operculum Cortex
924,101,Left Occipital Fusiform Gyrus,78,Left Postcentral Gyrus
925,3,Left Pallidum,94,Left Frontal Orbital Cortex
926,3,Left Pallidum,32,Right Supramarginal Gyrus; anterior division
927,103,Left Central Opercular Cortex,90,Left Cingulate Gyrus; anterior division
928,3,Left Pallidum,57,Right Planum Polare
929,101,Left Occipital Fusiform Gyrus,102,Left Frontal Operculum Cortex
930,103,Left Central Opercular Cortex,32,Right Supramarginal Gyrus; anterior division
931,109,Left Occipital Pole,91,Left Cingulate Gyrus; posterior division
932,50,Right Temporal Fusiform Cortex; anterior division,8,Right Caudate
933,105,Left Planum Polare,29,Right Inferior Temporal Gyrus; temporooccipital part
934,0,Left Thalamus,12,Right Amygdala
935,6,Left Accumbens,14,Right Frontal Pole
936,50,Right Temporal Fusiform Cortex; anterior division,62,Left Frontal Pole
937,99,Left Temporal Fusiform Cortex; posterior division,29,Right Inferior Temporal Gyrus; temporooccipital part
938,69,Left Temporal Pole,106,Left Heschl's Gyrus (includes H1 and H2)
939,104,Left Parietal Operculum Cortex,101,Left Occipital Fusiform Gyrus
940,77,Left Inferior Temporal Gyrus; temporooccipital part,44,Right Precuneous Cortex
941,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),98,Left Temporal Fusiform Cortex; anterior division
942,77,Left Inferior Temporal Gyrus; temporooccipital part,24,Right Middle Temporal Gyrus; anterior division
943,28,Right Inferior Temporal Gyrus; posterior division,54,Right Frontal Operculum Cortex
944,62,Left Frontal Pole,49,Right Lingual Gyrus
945,75,Left Inferior Temporal Gyrus; anterior division,80,Left Supramarginal Gyrus; anterior division
946,35,Right Lateral Occipital Cortex; superior division,34,Right Angular Gyrus
947,53,Right Occipital Fusiform Gyrus,14,Right Frontal Pole
948,5,Left Amygdala,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
949,75,Left Inferior Temporal Gyrus; anterior division,56,Right Parietal Operculum Cortex
950,37,Right Intracalcarine Cortex,89,Left Paracingulate Gyrus
951,99,Left Temporal Fusiform Cortex; posterior division,105,Left Planum Polare
952,32,Right Supramarginal Gyrus; anterior division,78,Left Postcentral Gyrus
953,35,Right Lateral Occipital Cortex; superior division,5,Left Amygdala
954,103,Left Central Opercular Cortex,96,Left Parahippocampal Gyrus; posterior division
955,53,Right Occipital Fusiform Gyrus,36,Right Lateral Occipital Cortex; inferior division
956,103,Left Central Opercular Cortex,80,Left Supramarginal Gyrus; anterior division
957,104,Left Parietal Operculum Cortex,8,Right Caudate
958,66,Left Inferior Frontal Gyrus; pars triangularis,107,Left Planum Temporale
959,96,Left Parahippocampal Gyrus; posterior division,62,Left Frontal Pole
960,21,Right Temporal Pole,62,Left Frontal Pole
961,6,Left Accumbens,31,Right Superior Parietal Lobule
962,46,Right Frontal Orbital Cortex,66,Left Inferior Frontal Gyrus; pars triangularis
963,28,Right Inferior Temporal Gyrus; posterior division,104,Left Parietal Operculum Cortex
964,97,Left Lingual Gyrus,92,Left Precuneous Cortex
965,28,Right Inferior Temporal Gyrus; posterior division,78,Left Postcentral Gyrus
966,28,Right Inferior Temporal Gyrus; posterior division,80,Left Supramarginal Gyrus; anterior division
967,78,Left Postcentral Gyrus,95,Left Parahippocampal Gyrus; anterior division
968,68,Left Precentral Gyrus,95,Left Parahippocampal Gyrus; anterior division
969,13,Right Accumbens,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
970,29,Right Inferior Temporal Gyrus; temporooccipital part,4,Left Hippocampus
971,55,Right Central Opercular Cortex,59,Right Planum Temporale
972,104,Left Parietal Operculum Cortex,2,Left Putamen
973,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),100,Left Temporal Occipital Fusiform Cortex
974,66,Left Inferior Frontal Gyrus; pars triangularis,86,Left Frontal Medial Cortex
975,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),96,Left Parahippocampal Gyrus; posterior division
976,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
977,59,Right Planum Temporale,91,Left Cingulate Gyrus; posterior division
978,38,Right Frontal Medial Cortex,97,Left Lingual Gyrus
979,95,Left Parahippocampal Gyrus; anterior division,95,Left Parahippocampal Gyrus; anterior division
980,68,Left Precentral Gyrus,66,Left Inferior Frontal Gyrus; pars triangularis
981,98,Left Temporal Fusiform Cortex; anterior division,17,Right Middle Frontal Gyrus
982,68,Left Precentral Gyrus,19,Right Inferior Frontal Gyrus; pars opercularis
983,29,Right Inferior Temporal Gyrus; temporooccipital part,44,Right Precuneous Cortex
984,52,Right Temporal Occipital Fusiform Cortex,12,Right Amygdala
985,29,Right Inferior Temporal Gyrus; temporooccipital part,36,Right Lateral Occipital Cortex; inferior division
986,4,Left Hippocampus,107,Left Planum Temporale
987,79,Left Superior Parietal Lobule,72,Left Middle Temporal Gyrus; anterior division
988,11,Right Hippocampus,88,Left Subcallosal Cortex
989,29,Right Inferior Temporal Gyrus; temporooccipital part,9,Right Putamen
990,79,Left Superior Parietal Lobule,43,Right Cingulate Gyrus; posterior division
991,29,Right Inferior Temporal Gyrus; temporooccipital part,56,Right Parietal Operculum Cortex
992,68,Left Precentral Gyrus,1,Left Caudate
993,38,Right Frontal Medial Cortex,29,Right Inferior Temporal Gyrus; temporooccipital part
994,78,Left Postcentral Gyrus,71,Left Superior Temporal Gyrus; posterior division
995,105,Left Planum Polare,9,Right Putamen
996,3,Left Pallidum,15,Right Insular Cortex
997,97,Left Lingual Gyrus,9,Right Putamen
998,74,Left Middle Temporal Gyrus; temporooccipital part,1,Left Caudate
999,51,Right Temporal Fusiform Cortex; posterior division,45,Right Cuneal Cortex
1000,3,Left Pallidum,16,Right Superior Frontal Gyrus
1001,11,Right Hippocampus,6,Left Accumbens
1002,50,Right Temporal Fusiform Cortex; anterior division,10,Right Pallidum
1003,51,Right Temporal Fusiform Cortex; posterior division,38,Right Frontal Medial Cortex
1004,11,Right Hippocampus,3,Left Pallidum
1005,51,Right Temporal Fusiform Cortex; posterior division,37,Right Intracalcarine Cortex
1006,74,Left Middle Temporal Gyrus; temporooccipital part,60,Right Supracalcarine Cortex
1007,37,Right Intracalcarine Cortex,76,Left Inferior Temporal Gyrus; posterior division
1008,96,Left Parahippocampal Gyrus; posterior division,104,Left Parietal Operculum Cortex
1009,74,Left Middle Temporal Gyrus; temporooccipital part,66,Left Inferior Frontal Gyrus; pars triangularis
1010,96,Left Parahippocampal Gyrus; posterior division,67,Left Inferior Frontal Gyrus; pars opercularis
1011,3,Left Pallidum,52,Right Temporal Occipital Fusiform Cortex
1012,76,Left Inferior Temporal Gyrus; posterior division,15,Right Insular Cortex
1013,75,Left Inferior Temporal Gyrus; anterior division,63,Left Insular Cortex
1014,3,Left Pallidum,50,Right Temporal Fusiform Cortex; anterior division
1015,75,Left Inferior Temporal Gyrus; anterior division,70,Left Superior Temporal Gyrus; anterior division
1016,75,Left Inferior Temporal Gyrus; anterior division,77,Left Inferior Temporal Gyrus; temporooccipital part
1017,96,Left Parahippocampal Gyrus; posterior division,105,Left Planum Polare
1018,50,Right Temporal Fusiform Cortex; anterior division,12,Right Amygdala
1019,3,Left Pallidum,90,Left Cingulate Gyrus; anterior division
1020,97,Left Lingual Gyrus,27,Right Inferior Temporal Gyrus; anterior division
1021,78,Left Postcentral Gyrus,63,Left Insular Cortex
1022,104,Left Parietal Operculum Cortex,71,Left Superior Temporal Gyrus; posterior division
1023,28,Right Inferior Temporal Gyrus; posterior division,32,Right Supramarginal Gyrus; anterior division
1024,46,Right Frontal Orbital Cortex,22,Right Superior Temporal Gyrus; anterior division
1025,69,Left Temporal Pole,66,Left Inferior Frontal Gyrus; pars triangularis
1026,28,Right Inferior Temporal Gyrus; posterior division,21,Right Temporal Pole
1027,28,Right Inferior Temporal Gyrus; posterior division,15,Right Insular Cortex
1028,57,Right Planum Polare,55,Right Central Opercular Cortex
1029,23,Right Superior Temporal Gyrus; posterior division,33,Right Supramarginal Gyrus; posterior division
1030,69,Left Temporal Pole,98,Left Temporal Fusiform Cortex; anterior division
1031,55,Right Central Opercular Cortex,44,Right Precuneous Cortex
1032,104,Left Parietal Operculum Cortex,90,Left Cingulate Gyrus; anterior division
1033,104,Left Parietal Operculum Cortex,92,Left Precuneous Cortex
1034,77,Left Inferior Temporal Gyrus; temporooccipital part,57,Right Planum Polare
1035,4,Left Hippocampus,17,Right Middle Frontal Gyrus
1036,37,Right Intracalcarine Cortex,0,Left Thalamus
1037,49,Right Lingual Gyrus,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
1038,97,Left Lingual Gyrus,49,Right Lingual Gyrus
1039,38,Right Frontal Medial Cortex,24,Right Middle Temporal Gyrus; anterior division
1040,101,Left Occipital Fusiform Gyrus,12,Right Amygdala
1041,4,Left Hippocampus,9,Right Putamen
1042,76,Left Inferior Temporal Gyrus; posterior division,92,Left Precuneous Cortex
1043,38,Right Frontal Medial Cortex,15,Right Insular Cortex
1044,28,Right Inferior Temporal Gyrus; posterior division,53,Right Occipital Fusiform Gyrus
1045,85,Left Intracalcarine Cortex,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
1046,66,Left Inferior Frontal Gyrus; pars triangularis,29,Right Inferior Temporal Gyrus; temporooccipital part
1047,16,Right Superior Frontal Gyrus,95,Left Parahippocampal Gyrus; anterior division
1048,89,Left Paracingulate Gyrus,21,Right Temporal Pole
1049,89,Left Paracingulate Gyrus,14,Right Frontal Pole
1050,0,Left Thalamus,91,Left Cingulate Gyrus; posterior division
1051,16,Right Superior Frontal Gyrus,29,Right Inferior Temporal Gyrus; temporooccipital part
1052,0,Left Thalamus,95,Left Parahippocampal Gyrus; anterior division
1053,0,Left Thalamus,96,Left Parahippocampal Gyrus; posterior division
1054,40,Right Subcallosal Cortex,97,Left Lingual Gyrus
1055,33,Right Supramarginal Gyrus; posterior division,78,Left Postcentral Gyrus
1056,0,Left Thalamus,108,Left Supracalcarine Cortex
1057,101,Left Occipital Fusiform Gyrus,101,Left Occipital Fusiform Gyrus
1058,51,Right Temporal Fusiform Cortex; posterior division,26,Right Middle Temporal Gyrus; temporooccipital part
1059,1,Left Caudate,8,Right Caudate
1060,13,Right Accumbens,35,Right Lateral Occipital Cortex; superior division
1061,33,Right Supramarginal Gyrus; posterior division,57,Right Planum Polare
1062,16,Right Superior Frontal Gyrus,76,Left Inferior Temporal Gyrus; posterior division
1063,33,Right Supramarginal Gyrus; posterior division,52,Right Temporal Occipital Fusiform Cortex
1064,35,Right Lateral Occipital Cortex; superior division,82,Left Angular Gyrus
1065,60,Right Supracalcarine Cortex,66,Left Inferior Frontal Gyrus; pars triangularis
1066,85,Left Intracalcarine Cortex,91,Left Cingulate Gyrus; posterior division
1067,51,Right Temporal Fusiform Cortex; posterior division,75,Left Inferior Temporal Gyrus; anterior division
1068,17,Right Middle Frontal Gyrus,3,Left Pallidum
1069,46,Right Frontal Orbital Cortex,83,Left Lateral Occipital Cortex; superior division
1070,53,Right Occipital Fusiform Gyrus,37,Right Intracalcarine Cortex
1071,32,Right Supramarginal Gyrus; anterior division,101,Left Occipital Fusiform Gyrus
1072,8,Right Caudate,104,Left Parietal Operculum Cortex
1073,60,Right Supracalcarine Cortex,60,Right Supracalcarine Cortex
1074,100,Left Temporal Occipital Fusiform Cortex,78,Left Postcentral Gyrus
1075,108,Left Supracalcarine Cortex,18,Right Inferior Frontal Gyrus; pars triangularis
1076,41,Right Paracingulate Gyrus,0,Left Thalamus
1077,99,Left Temporal Fusiform Cortex; posterior division,67,Left Inferior Frontal Gyrus; pars opercularis
1078,0,Left Thalamus,2,Left Putamen
1079,92,Left Precuneous Cortex,73,Left Middle Temporal Gyrus; posterior division
1080,6,Left Accumbens,75,Left Inferior Temporal Gyrus; anterior division
1081,8,Right Caudate,14,Right Frontal Pole
1082,35,Right Lateral Occipital Cortex; superior division,17,Right Middle Frontal Gyrus
1083,14,Right Frontal Pole,15,Right Insular Cortex
1084,43,Right Cingulate Gyrus; posterior division,44,Right Precuneous Cortex
1085,13,Right Accumbens,75,Left Inferior Temporal Gyrus; anterior division
1086,92,Left Precuneous Cortex,56,Right Parietal Operculum Cortex
1087,92,Left Precuneous Cortex,44,Right Precuneous Cortex
1088,35,Right Lateral Occipital Cortex; superior division,2,Left Putamen
1089,61,Right Occipital Pole,51,Right Temporal Fusiform Cortex; posterior division
1090,13,Right Accumbens,46,Right Frontal Orbital Cortex
1091,41,Right Paracingulate Gyrus,78,Left Postcentral Gyrus
1092,41,Right Paracingulate Gyrus,77,Left Inferior Temporal Gyrus; temporooccipital part
1093,53,Right Occipital Fusiform Gyrus,67,Left Inferior Frontal Gyrus; pars opercularis
1094,53,Right Occipital Fusiform Gyrus,69,Left Temporal Pole
1095,34,Right Angular Gyrus,86,Left Frontal Medial Cortex
1096,61,Right Occipital Pole,91,Left Cingulate Gyrus; posterior division
1097,53,Right Occipital Fusiform Gyrus,90,Left Cingulate Gyrus; anterior division
1098,53,Right Occipital Fusiform Gyrus,91,Left Cingulate Gyrus; posterior division
1099,46,Right Frontal Orbital Cortex,10,Right Pallidum
1100,13,Right Accumbens,56,Right Parietal Operculum Cortex
1101,41,Right Paracingulate Gyrus,30,Right Postcentral Gyrus
1102,50,Right Temporal Fusiform Cortex; anterior division,109,Left Occipital Pole
1103,6,Left Accumbens,42,Right Cingulate Gyrus; anterior division
1104,34,Right Angular Gyrus,106,Left Heschl's Gyrus (includes H1 and H2)
1105,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),94,Left Frontal Orbital Cortex
1106,57,Right Planum Polare,93,Left Cuneal Cortex
1107,53,Right Occipital Fusiform Gyrus,21,Right Temporal Pole
1108,64,Left Superior Frontal Gyrus,61,Right Occipital Pole
1109,96,Left Parahippocampal Gyrus; posterior division,80,Left Supramarginal Gyrus; anterior division
1110,49,Right Lingual Gyrus,31,Right Superior Parietal Lobule
1111,98,Left Temporal Fusiform Cortex; anterior division,105,Left Planum Polare
1112,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),24,Right Middle Temporal Gyrus; anterior division
1113,17,Right Middle Frontal Gyrus,92,Left Precuneous Cortex
1114,107,Left Planum Temporale,91,Left Cingulate Gyrus; posterior division
1115,103,Left Central Opercular Cortex,70,Left Superior Temporal Gyrus; anterior division
1116,95,Left Parahippocampal Gyrus; anterior division,5,Left Amygdala
1117,17,Right Middle Frontal Gyrus,96,Left Parahippocampal Gyrus; posterior division
1118,103,Left Central Opercular Cortex,73,Left Middle Temporal Gyrus; posterior division
1119,49,Right Lingual Gyrus,11,Right Hippocampus
1120,43,Right Cingulate Gyrus; posterior division,21,Right Temporal Pole
1121,51,Right Temporal Fusiform Cortex; posterior division,90,Left Cingulate Gyrus; anterior division
1122,55,Right Central Opercular Cortex,28,Right Inferior Temporal Gyrus; posterior division
1123,51,Right Temporal Fusiform Cortex; posterior division,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
1124,103,Left Central Opercular Cortex,72,Left Middle Temporal Gyrus; anterior division
1125,103,Left Central Opercular Cortex,52,Right Temporal Occipital Fusiform Cortex
